TOFU	AM	RM	AdjRM
76	0.769935421740372	0.661318986160065	0.978460924011913
77	0.769942724221768	0.661633879221929	0.980184679349784
78	0.769949200941757	0.66194346434667	0.981889577282902
79	0.769954945277079	0.662247831006659	0.983575824106463
80	0.76996004004547	0.662547067166059	0.985243623858749
81	0.769964558699677	0.662841259306259	0.986893178345836
82	0.76996856638644	0.663130492450876	0.988524687166041
83	0.769972120885734	0.66341485019033	0.99013834773408
84	0.7699752734438	0.663694414706006	0.991734355304975
85	0.769978069511976	0.66396926679401	0.99331290299768
86	0.769980549401985	0.664239485888517	0.994874181818466
87	0.769982748867114	0.664505150084733	0.996418380684028
88	0.769984699617687	0.664766336161467	0.997945686444356
89	0.769986429778237	0.665023119603313	0.999456283905342
90	0.769987964292987	0.665275574622478	1.00095035585115
91	0.76998932528548	0.665523774180221	1.00242808306632
92	0.769990532377536	0.665767790007942	1.00388964435766
93	0.76999160297215	0.666007692627915	1.00533521657589
94	0.769992552504392	0.666243551373667	1.00676497463702
95	0.769993394663943	0.666475434410018	1.00817909154352
96	0.76999414159246	0.666703408752781	1.00957773840527
97	0.769994804058626	0.666927540288126	1.01096108446025
98	0.769995391613407	0.667147893791627	1.01232929709502
99	0.769995912727751	0.667364532946982	1.01368254186498
100	0.769996374914712	0.667577520364413	1.01502098251441
101	0.769996784837773	0.667786917598767	1.01634478099625
102	0.769997148406913	0.667992785167302	1.01765409749174
103	0.769997470863814	0.668195182567179	1.01894909042977
104	0.76999775685743	0.668394168292654	1.02022991650607
105	0.769998010511012	0.668589799851987	1.02149673070216
106	0.769998235481558	0.668782133784061	1.02274968630409
107	0.769998435012533	0.66897122567472	1.02398893492104
108	0.769998611980632	0.669157130172838	1.02521462650358
109	0.769998768937256	0.669339901006107	1.02642690936191
110	0.769998908145293	0.669519590996571	1.02762593018372
111	0.769999031611747	0.669696252075888	1.028811834052
112	0.769999141116668	0.669869935300339	1.02998476446255
113	0.76999923823882	0.670040690865585	1.0311448633414
114	0.769999324378441	0.670208568121174	1.03229227106193
115	0.769999400777432	0.670373615584799	1.03342712646186
116	0.769999468537258	0.670535880956327	1.03454956686008
117	0.769999528634833	0.67069541113158	1.03565972807325
118	0.7699995819366	0.670852252215889	1.03675774443224
119	0.769999629211027	0.671006449537418	1.03784374879837
120	0.769999671139682	0.671158047660267	1.03891787257947
121	0.769999708327063	0.671307090397349	1.03998024574585
122	0.769999741309312	0.671453620823051	1.04103099684596
123	0.769999770561942	0.671597681285687	1.04207025302195
124	0.769999796506697	0.671739313419734	1.0430981400251
125	0.769999819517631	0.671878558157863	1.04411478223098
126	0.769999839926498	0.672015455742773	1.04512030265454
127	0.76999985802754	0.67215004573882	1.04611482296499
128	0.769999874081724	0.672282367043448	1.04709846350049
129	0.769999888320507	0.672412457898435	1.04807134328274
130	0.769999900949176	0.672540355900945	1.04903358003139
131	0.7699999121498	0.67266609801439	1.04998529017826
132	0.769999922083862	0.672789720579116	1.05092658888143
133	0.769999930894585	0.672911259322905	1.0518575900392
134	0.769999938708995	0.6730307493713	1.05277840630385
135	0.769999945639755	0.673148225257755	1.05368914909526
136	0.769999951786788	0.673263720933621	1.05458992861443
137	0.769999957238717	0.673377269777951	1.05548085385677
138	0.769999962074144	0.673488904607152	1.05636203262533
139	0.769999966362783	0.673598657684466	1.05723357154381
140	0.769999970166465	0.673706560729297	1.05809557606949
141	0.769999973540028	0.673812644926375	1.05894815050596
142	0.76999997653211	0.673916940934771	1.05979139801577
143	0.769999979185849	0.674019478896759	1.06062542063291
144	0.769999981539504	0.674120288446523	1.06145031927511
145	0.769999983627009	0.674219398718724	1.06226619375613
146	0.76999998547846	0.674316838356921	1.06307314279778
147	0.769999987120549	0.674412635521848	1.06387126404187
148	0.769999988576952	0.674506817899551	1.06466065406204
149	0.769999989868665	0.674599412709394	1.06544140837546
150	0.769999991014312	0.674690446711922	1.06621362145434
151	0.76999999203041	0.674779946216593	1.06697738673741
152	0.769999992931607	0.674867937089389	1.06773279664121
153	0.769999993730898	0.674954444760284	1.06847994257124
154	0.769999994439805	0.675039494230596	1.06921891493309
155	0.76999999506855	0.675123110080216	1.06994980314331
156	0.769999995626196	0.675205316474704	1.07067269564026
157	0.769999996120784	0.675286137172283	1.07138767989482
158	0.769999996559444	0.675365595530694	1.07209484242095
159	0.769999996948501	0.675443714513958	1.07279426878619
160	0.769999997293563	0.675520516699005	1.07348604362197
161	0.769999997599606	0.675596024282199	1.0741702506339
162	0.769999997871041	0.675670259085758	1.07484697261186
163	0.769999998111783	0.675743242564058	1.07551629144004
164	0.769999998325302	0.675814995809831	1.07617828810682
165	0.769999998514676	0.675885539560264	1.07683304271462
166	0.769999998682636	0.675954894202994	1.07748063448954
167	0.769999998831603	0.676023079781993	1.07812114179097
168	0.769999998963725	0.67609011600337	1.07875464212109
169	0.769999999080906	0.676156022241058	1.07938121213419
170	0.769999999184837	0.676220817542419	1.08000092764603
171	0.769999999277015	0.676284520633746	1.08061386364293
172	0.76999999935877	0.676347149925676	1.08122009429089
173	0.76999999943128	0.676408723518511	1.08181969294456
174	0.769999999495591	0.676469259207446	1.08241273215612
175	0.769999999552629	0.676528774487717	1.08299928368403
176	0.769999999603218	0.676587286559656	1.08357941850174
177	0.769999999648086	0.676644812333657	1.08415320680627
